Title,Yönetmen,Yönetici  yapımcı,Sunucu,Seslendiren(ler),İlişkili programlar,Anlatıcı,Yaratıcı  yönetmen(ler),Besteci,Mekân,Yapım  şirketi,Geliştiren,Açılış müziği,Sezon sayısı,Kamera,Yayın tarihi,Dili,Kurgucu,Yapımcı,Gösterim süresi,Tema müziği bestecisi,Öykü,Sonra gelen,Proje tasarımcısı,Öykü kurgusu,Dağıtımcı firma,Bölüm sayısı,Resim formatı,Platform,Tür,Format,Yazar,Ülke,Ses formatı,Durumu,Kanal,Önce gelen,Uyarlama,Senarist,Bitiş müziği,Görüntü yönetmeni,Başrol
Yüz Yüze,Osman Taşcı,,,,,,,Toygar Işıklı,İstanbul,Tims&B,,,1,,19 Ekim 2017 - 26 Ekim 2017,Türkçe,,Timur Savcı Burak Sağyaşar,120 dakika,,,,,,,2,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aksiyon Dram,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Show TV  ( HDTV ),,,Ethem Özışık,,Erhan Ergün,Birkan Sokullu Sinem Kobal Taner Ölmez
İkimizin Sırrı,Cem Akyoldaş,,,,,,,,İstanbul,ÜS Yapım,,,1,,8 Ağustos 2021 - 10 Ekim 2021,Türkçe,,Süreyya Yaşar Önal,150 dakika,,,,,,,10,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram Aşk,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv,,Marriage Contract,Özen Yula,,Taylan Sancaktar,Leyla Feray Aras Aydın
EGO,Doğa Can Anafarta  (1-3) Şenol Sönmez  (4-13),,,,,,,Cem Tuncer Ercüment Orkut,İstanbul Antalya [1],Pastel Film,,,1,,5 Şubat 2023 - 21 Mayıs 2023,Türkçe,,Efe İrvül Yaşar İrvül,130 dakika,,,,,,,13,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX,,Temptation –Ji-Hoon Han,"Gülsev Karagöz (1, 4-13) Zafer Özer Çetinel (1, 4-13) Görkem Tüzün (1, 4-13) Okan Başar Bahar (8-13) Ahmet Orçun Okşar (1, 4-5) Erkan Birgören (2-3) Elif Tuna Kıygı (2-3)",,,Alperen Duymaz Melisa Aslı Pamuk Ahmet Kayakesen Rüya Helin Demirbulut
Muhteşem Yüzyıl,Taylan Biraderler  (1-103) Yağız Alp Akaydın  (104-139) Mert Baykal  (104-139),Nermin Eroğlu,,,,,,Fahir Atakoğlu Aytekin Ataş Soner Akalın,Tims Stüdyoları ( İstanbul ),Tims Productions,,,"4 ( 1 ,  2 ,  3 ,  4 )",,5 Ocak 2011  ( 2011-01-05 )  -  11 Haziran 2014  ( 2014-06-11 ),Türkçe,,Timur Savcı,100-120 dakika,,,Muhteşem Yüzyıl Kösem  (2015-2017),,Emrullah Hekim,,139 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Tarihî Kurgu,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,Show TV  ( HD ) (2011) Star TV  ( HD ) (2012-2014),,,Meral Okay  (1-56) Yılmaz Şahin  (57-139),,Aydın Sarıoğlu  (1.sezon) Ercan Özkan  (2.sezon) Burak Kanbir  (3.sezon),Halit Ergenç Meryem Uzerli Vahide Perçin Nebahat Çehre Okan Yalabık Nur Fettahoğlu Selma Ergeç
Unutma Beni,,Mehmet Erişdi,,,,,,,Ankara,Focus Film,,,8,,19 Mayıs 2008 [1]  - 27 Mayıs 2016,Türkçe,,Nilgün Sağyaşar,40-60 dakika,,,,,,,1702 ( bölümleri listesi ),576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Aile Dram,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,FOX  ( HD ),,,Moda Senaryo Evi,,,
Lise Devriyesi,Yahya Samancı,Kerem Şahenk,,,,,,Tuna Hizmetli,İstanbul,ARC Film,,Lise Devriyesi jenerik,1,,26 Mart 2017 - 18 Haziran 2017,Türkçe,,Fatih Enes Ömeroğlu,150 dakika,,Emre Boyraz Ahmet Yıldıran,,Fatih Enes Ömeroğlu,,,11,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Gençlik Polisiye Komedi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,TRT 1,,,,Lise Devriyesi jenerik,,Ozan Dolunay Bahar Şahin İsmail Ege Şaşmaz Yusuf Gökhan Atalay Asena Tuğal Doğan Akdoğan Mehmet Çevik
Tatlı Betüş,Atıf Yılmaz,,,,,,,,,Delta Film,,,1,,3 Nisan 1993 - 29 Mayıs 1993,Türkçe,,,,,,,,,,8,Stereo,,,Televizyon dizisi,,Türkiye,,Sona erdi,Show TV,,,Aziz Nesin  (Eser) Ümit Ünal Atıf Yılmaz,,,Türkân Şoray Alp Buğdaycı Tarık Tarcan Faruk Peker Aydemir Akbaş Altan Akışık Bülent Kayabaş Taner Barlas Cem Davran
Artist Palas,Mahinur Ergun,,,,,,,,İstanbul,Protel,,Artist Palas Jenerik,1,,20 Mart 1994 - 15 Temmuz 1994,Türkçe,,Ali Taygun,40 dakika,Can Hakgüder,,,,,,12,480i  ( SDTV ),,Dram Romantik Komedi,Televizyon dizisi,,Türkiye,,Sona erdi,Kanal D,,,Mahinur Ergun,,,Zuhal Olcay Lale Mansur Burçin Orhon Füsun Demirel Hakan Tanfer
Avrupa Yakası,Hakan Algül (1-41)  Jale Atabey  (42-190),,,,,,,Cenk Durmazel Cenk Sarkuş,İstanbul  Plato stüdyoları,Plato Film,,,6,,11 Şubat 2004  ( 2004-02-11 )  -  24 Haziran 2009  ( 2009-06-24 ) [4],Türkçe,,Sinan Çetin,90 dakika [2]  73 dakika [3],,,,Gülse Birsel,,,190 [1]  ( bölümleri listesi ),4:3,,Durum komedisi,Televizyon dizisi,,Türkiye,Stereo,Sona erdi,atv  (2004-2009),,,,,,Gazanfer Özcan Hümeyra Müşfik Kenter Gönül Ülkü Ata Demirer Gülse Birsel Engin Günaydın Levent Üzümcü Şenay Gürler Bülent Polat Veysel Diker Yıldırım Öcek Yavuz Seçkin Hale Caneroğlu Evrim Akın Vural Çelik Hasibe Eren Tolga Çevik Sarp Apak Peker Açıkalın Binnur Kaya Hakan Yılmaz Ömür Arpacı Rutkay Aziz Suna Keskin  ve  diğerleri
Hizmetçiler,Metin Balekoğlu,,,,,,,Atakan Ilgazdağ,İstanbul,Fabrika Yapım,,,1,,7 Mart 2020 - 21 Mart 2020,Türkçe,,Öner Arslanel,130 dakika,,,,Ali Leskay,,,3,576i  ( 16:9 SDTV ) 1080i  ( HDTV ),,Drama Entrika,Televizyon dizisi,,Türkiye,Stereo,Yayından kaldırıldı,Kanal D,,,Makbule Kosif,,,Deniz Baysal Yurtcu Algı Eke Selen Domaç Aleyna Solaker
