Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Tuzak,Fabrika Yapım Acun Medya,1,19 Ekim 2022 - 28 Nisan 2023,Dram,TV8,Akın Akınözü Bensu Soral Talat Bulut
Fazilet Hanım ve Kızları,Avşar Film,2,25 Mart 2017 - 9 Haziran 2018,Dram,Star TV,Nazan Kesal Deniz Baysal Yurtcu Çağlar Ertuğrul Mahir Günşiray Tolga Güleç Hazal Türesan Afra Saraçoğlu İdris Nebi Taşkan Alp Navruz Tuğba Melis Türk Ecem Baltacı
Seven Ne Yapmaz,MF Yapım,1,6 Eylül 2017  ( 2017-09-06 )  -  15 Kasım 2017  ( 2017-11-15 ),Aşk Romantik,atv,Yusuf Çim Seren Şirince
Fedai,D Productions,1,16 Kasım 2007 - 12 Ocak 2008,Drama,Star TV,Seda Sayan Tamer Karadağlı Metin Belgin Güliz Gençoğlu İpek Tanrıyar Enginay Gültekin Mutlu Güney Atilla Yiğit Ergül Coşkun Selen Uçer Kaan Olcay Şeyda Şaşmaz
Şeytan Ayrıntıda Gizlidir,Renkli Türkçe Film Yapım,1,13 Ocak 2004 - 6 Nisan 2004,Polisiye,TRT 1  (2004),Çetin Tekindor Nejat İşler İrem Altuğ Meral Çetinkaya Fırat Tanış Ali Sürmeli Ümit Acar Engin Cezzar Erol Keskin Fatih Koyunoğlu Levend Yılmaz Gazanfer Ündüz Mete Horozoğlu Aytekin Özen Mert Turak Ayşen İnci Erkan Kolçak Köstendil Hasan Küçükçetin Fulya Ündüz İnan Ulaş Torun Umut Sinem Tuncer Ayhan Taş Halil İbrahim Aras İhsan Devrim Ayhan Eroğlu
Güzel Günler,TMC Film,1,6 Kasım 2022 - 18 Haziran 2023,Komedi Aile,Show TV,Binnur Kaya Ecem Erkek Leyla Tanlar Zeynep Çamcı Olgun Toker Burak Dakak Yıldıray Şahinler
Saklı Kalan,Esprit De Corps Production,1,19 Aralık 2013 - 2014,,Show TV,Melis Birkan Muhammet Uzuner Meral Çetinkaya
Ruhumun Aynası,Bando Yapım,1,8 Temmuz 2014 - 19 Ağustos 2014,Komedi Aile Romantik,FOX  ( HD ),Tuba Ünsal Filiz Ahmet Özgürcan Çevik Engin Alkan Suzan Aksoy Murat Akkoyunlu Barış Yalçın Bora Akkaş Ayşen Gruda Aliye Uzunatağan Rıza Akın Haktan Pak Mihrace Yekenkülüğ Alpay Şayhan Funda Güray Belit Özükan
Yalan Dünya,D Productions,4,13 Ocak 2012  ( 2012-01-13 )  -  19 Kasım 2014  ( 2014-11-19 ),Komedi Sit-com,Kanal D  ( HD )  teve2  (Tekrar),Altan Erkekli Füsun Demirel Olgun Şimşek Beyazıt Öztürk Gülse Birsel Hasibe Eren Sarp Apak Öner Erkan
Kalp Yarası,Süreç Film,1,28 Haziran 2021 - 21 Şubat 2022,Aşk Dram,atv,Gökhan Alkan Yağmur Tanrısevsin
Tövbeler Tövbesi,Limon Film,1,25 Mart 2011 - 24 Ocak 2012,Dram Romantik Komedi,atv  ( HD ),Tuba Ünsal Cemal Toktaş Fulya Zenginer Keremcem Füsun Demirel Rıza Akın Cihat Tamer Pınar Dikici
Doludizgin Yıllar,Sinegraf,2,6 Ağustos 2008 - 8 Şubat 2010,Dram,atv  (6 Ağustos 2008-24 Eylül 2008)  TRT 1  (3 Kasım 2008-8 Şubat 2010),Yusuf Ömer Sınav Selen Seyven Arda Kural Erdal Cindoruk Damla Debre Ayşegül İşsever Mehmet Polat Suat Güzey Yılmaz Calayır Deniz Özpınar Yağız Bankoğlu Hüseyin Soysalan
Sultan Makamı,Avşar Film,1,Eylül 2003 - Mart 2004,Dram,Kanal D,Şevket Çoruh Başak Köklükaya Uğur Polat Dolunay Soysert Kerem Atabeyoğlu Suzan Elif Kılınç
Afili Aşk,ARC Film,1,12 Haziran 2019 - 19 Mart 2020,Romantik komedi,Kanal D,Çağlar Ertuğrul Burcu Özberk
Arıza,O3 Medya,1,13 Eylül 2020 - 11 Nisan 2021,Aksiyon Dram,Show TV,Tolga Sarıtaş Ayça Ayşin Turan Ahmet Mümtaz Taylan
Hangimiz Sevmedik,BSK Yapım,1,15 Temmuz 2016 - 22 Mayıs 2017,Dram Komedi,TRT 1,Can Yaman Selen Soyder Yeliz Kuvancı
Sihirli Safiye,,1,1 Ocak 1994  ( 1994-01-01 )  -  3 Eylül 1994  ( 1994-09-03 ),Fantastik Aile Komedi,Kanal D,Seden Kızıltunç Oğuz Oktay Ayben Erman Şerif Arslan Fatoş Kara
Kuzgun,Ay Yapım,2,13 Şubat 2019 - 16 Ekim 2019,Dram,Star TV,Barış Arduç Burcu Biricik
Söz,Tims&B Productions,3,3 Nisan 2017  ( 2017-04-03 )  -  27 Mayıs 2019  ( 2019-05-27 ),Askeri Aksiyon Savaş Dram,Star TV,Tolga Sarıtaş Aybüke Pusat Deniz Baysal Yurtcu Serhat Kılıç Sarp Akkaya Nihat Altınkaya Aytaç Şaşmaz Mehmet Özgür Meriç Aral Burak Sevinç Görkem Sevindik Eren Vurdem Mustafa Yıldıran Doğukan Polat Çağan Atakan Arslan
Yanık Koza,Limon Film,3,6 Nisan 2005  ( 2005-04-06 ) [3]  -  21 Şubat 2007  ( 2007-02-21 ) [4],Dram Genel,Show TV,Yavuz Bingöl Başak Köklükaya Çolpan İlhan Ayça İnci Mustafa Alabora Burak Davutoğlu Tuncer Necmioğlu Serdar Özer Başak Daşman Kemal Okur Barış Erdi Perihan Savaş Mete Horozoğlu Sedef Avcı Hande Kazanova Saadet Gürses Erdal Cindoruk Ali Karagöz Yavuz Karakaş
Sıkı Dostlar,,,21 Şubat 2009 [1]  - 2009,Komedi,Türkmax  (2009)  FOX  (2009),Haluk Bilginer Özkan Uğur Seray Sever Nez Hasibe Eren Ömür Arpacı Ayşenur Yazıcı Hakan Bilgin Aydoğan Oflu Özlem Türkad Okan Tangücü
Kimse Bilmez,Baba Yapım,1,11 Haziran 2019 - 29 Aralık 2019,Dram Aile,atv,Keremcem Özgü Kaya Engin Hepileri Burak Serdar Şanal
Karadayı,Ay Yapım,3,8 Ekim 2012 - 15 Haziran 2015,Aksiyon Dram Politik,atv  ( HD ),Kenan İmirzalıoğlu Bergüzar Korel Çetin Tekindor Yurdaer Okur
Payitaht: Abdülhamid,Es Film,5,24 Şubat 2017 - 4 Haziran 2021,Tarihî Aksiyon Dram Kurgu,TRT 1,Bülent İnal Özlem Conker Saygın Soysal Ezgi Eyüboğlu Akın Akınözü Hakan Boyav Selen Öztürk Eren Hacısalihoğlu Bahadır Yenişehirlioğlu Vildan Atasever Erkan Avcı Gürkan Uygun İsmail Hakkı Ürün
Bir Litre Gözyaşı,Medyapım MF Yapım,1,7 Ekim 2018  ( 2018-10-07 )  - 3 Şubat 2019,Dram Romantik,Kanal D Euro D teve2,Sanem Çelik Miray Daner Ogeday Girişken Tolga Tekin Mert Yazıcıoğlu
Hayatımın Rolü,Süreç Film,1,9 Temmuz 2012 - 10 Aralık 2012,Aile Dram Komedi,Star TV,Haluk Bilginer Ebru Özkan Bekir Aksoy Ebru Aykaç İlhan Şeşen
Beni Affet,Focus Film,8,17 Ekim 2011 - 28 Aralık 2018,Aile Aşk Dram,Show TV  (2011-2012) Star TV  ( HD ) (2012-2018)  2M TV - Fas  (2013-2019),Nusret Şenay Ulviye Karaca Gaye Turgut Evin Mert Altınışık Şeyma Korkmaz Murat Danacı Ceren Yalazoğlu Karakoç İlkay Kayku Atalay Zeynep Yasa Zeynep Aytek Metin Okan Şenozan Deniz Evin Saim Karakale Mithat Erdemli Tolga Akman Aleyna Eroğlu Can Arpacı Gökberk Yıldırım
Kalbim Ege'de Kaldı,Limon Film,1,24 Haziran 2015 - 18 Ekim 2015,Romantik komedi Aile,Kanal D  ( HD ),Alper Saldıran Oya Unustası
Kara Tahta,ÜS Yapım,1,30 Mart 2022 - 31 Ağustos 2022,Dram,TRT 1,Furkan Andıç Miray Daner
Yüzleşme,,1,5 Mart 2019 - 26 Mart 2019,Dram Polisiye,Kanal D,Hande Doğandemir Uğur Yücel Engin Öztürk Yiğit Kirazcı
Nehir,Vizyon Film,1,7 Kasım 2005 - 5 Aralık 2005,Drama,Kanal D,Petek Dinçöz İpek Tuzcuoğlu Selma Güneri Zeynep Eronat Suna Selen Mümtaz Sevinç Irmak Ünal Özgül Kavruk Serpil Tamur Cengiz Coşkun
Ütopya,Acun Medya,1,29 Ekim 2014 - 20 Eylül 2015,Yarışma,TV8  ( HD ) (2014-2015),
Beşinci Boyut,,5,12 Eylül 2005  ( 2005-09-12 ) [1] [2] [3] [4]  -  19 Ekim 2009  ( 2009-10-19 ),Dram Dini,Samanyolu TV,Cengiz Toraman Doğan Turan
Darmaduman,Ay Yapım,1,27 Ekim 2022 - 24 Aralık 2022,Gençlik Dram,FOX,Mert Yazıcıoğlu Aslıhan Malbora Hafsanur Sancaktutan Aytaç Şaşmaz Nur Fettahoğlu Necip Memili
Her Yerde Sen,Karga Seven Pictures,1,14 Haziran 2019 - 23 Kasım 2019,Romantik komedi,FOX,Furkan Andıç Aybüke Pusat
İki Arada Aşk,Mint Prodüksiyon,1,2005 - 2005,Komedi,TV8  (2005)  atv  (2005),
Cesaretin Var Mı Aşka,Limon Yapım,1,2 Temmuz 2008 - 20 Ağustos 2008,Romantik komedi Dram,Kanal D,Engin Altan Düzyatan Özge Özpirinçci Tarık Papuççuoğlu Ufuk Özkan İlker Ayrık
Kalbimdeki Deniz,Pastel Film,2,22 Ekim 2016 - 12 Mart 2018,Dram,FOX,Özge Özberk Kutsi
Bizim Okul,Erler Film,1,2 Şubat 2013 - 23 Mart 2013,Komedi,atv,Zeki Alasya Cezmi Baskın Levent Ülgen Pınar Aydın Tülin Oral Cem Davran
Benim Adım Melek,Üs Yapım,2,25 Eylül 2019 - 19 Mayıs 2021,Dram,TRT 1,Nehir Erdoğan Kutsi
Türkmen Düğünü,TRT,1,25 Ekim 1989  ( 1989-10-25 ) [1]  -  8 Kasım 1989  ( 1989-11-08 ) [2],Duygusal,TRT 1,Yılmaz Zafer Ece Pirim Nilgün Bubikoğlu Zerrin Çaldıran Asuman Arsan Nevin Aypar Atilla Ergün
Mavi Kelebekler,Sinevizyon,1,19 Ekim 2011 - 17 Mayıs 2012,Dram Savaş,TRT 1,Alma Terzic Burak Hakkı Oya Okar Yunus Emre Yıldırımer
Gülcemal,MF Yapım,1,6 Nisan 2023 - 13 Temmuz 2023,Dram,FOX,Murat Ünalmış Melis Sezen
Benim İçin Ağlama,Yağmur Ajans,,10 Ekim 2000  ( 2000-10-10 ) [1] [2] [3] [4] [5] [6]  -  2001  ( 2001 ),,TGRT,Fatma Girik Bulut Aras Yeşim Büber Ebru Akel Gökhan Tepe
Osmanlı Tokadı,,2,13 Nisan 2013 - 12  Nisan 2014,Tarihî,TRT 1  ( HD ),Uğur Çavuşoğlu Alper Kul İsmail Hacıoğlu Vildan Atasever Emir Benderlioğlu Mazhar Alanson Bertan Ceylan Pelin Akil
Mehmed: Bir Cihan Fatihi,O3 Medya,1,20 Mart 2018 - 1 Mayıs 2018,Tarihî Kurgu,Kanal D,Kenan İmirzalıoğlu Çetin Tekindor Gürkan Uygun Büşra Develi Hazal Filiz Küçükköse
Doksanlar,MinT Motion Pictures,1,26 Haziran 2013 - 27 Nisan 2014,Komedi Drama Romantik,atv,Renan Bilek Gamze Gözalan Arif Erkin Güzelbeyoğlu Beste Bereket Atılay Uluışık Açelya Akkoyun Erkan Köse Esra Dermancıoğlu Deniz Oral Derya Şensoy
Türk'ün Uzayla İmtihanı,Süreç Film,1,21 Mart 2012 - 23 Mayıs 2012,Komedi Bilimkurgu,Show TV  ( HD ),Ufuk Özkan Peker Açıkalın Sinan Çalışkanoğlu Özge Ulusoy Veysel Diker Bala Atabek Ayşe Melike Çerçi Bülent Çolak Yonca Oskay Haki Biçici
Yeşil Vadi'nin Kızı,Yeşil Yapım Hacıyatmaz,1,3 Temmuz 2023 - 11 Ekim 2023,Dram,Show TV,Beren Gökyıldız Sezin Bozacı Onur Dikmen
İtilmiş ve Kakılmış,Sinegraf Tükenmezkalem Film,4,1997 - 1998,Aksiyon Polisiye Suç Gerilim İstihbarat Komedi Dram,Star TV (1. Sezon) Show TV (2. ve 3. Sezon),İlyas İlbey Yasemin Yalçın
Sır Gibi,FM Yapım,1,4 Ekim 2007 - 1 Kasım 2007,Aile Dram Aşk,Star TV  (2007),İsmet Üstekin Kaya Erdaş Tuğçe Ersoy Murat Ünalmış Ece Özdikici Gülenay Kalkan Ayşegül Uygurer Aylin Kontente Hikmet Karagöz Burak Davutoğlu Feyza Işık Sezin Akbaşoğulları Erdoğan Tutkun
Avrupa Avrupa,Mia Yapım,3,25 Eylül 2011 - 27 Kasım 2013,Sitcom,TRT 1,Tarık Ünlüoğlu Selen Seyven Burak Serdar Şanal Bahar Süer Zuhal Topal Şehsuvar Aktaş Kadir Çöpdemir Günay Karacaoğlu Ahmet Saraçoğlu Durukan Çelikkaya
Bıçak Sırtı,TMC,1,10 Eylül 2007 - 28 Nisan 2008,,Kanal D,Nejat İşler Melisa Sözen Fikret Kuşkan Vildan Atasever Mehmet Günsür Mahir Günşiray Erkan Can Batuhan Karacakaya
Duy Beni,Süreç Film,1,7 Temmuz 2022 - 17 Kasım 2022,Dram Romantik Gençlik,Star TV,Berk Hakman Ege Kökenli Rabia Soytürk Caner Topçu Sümeyye Aydoğan
Benim Hayatım,BVB Yapım,1,31 Ekim 2021 - 9 Aralık 2021,Dram Romantik,Star TV,Nilsu Berfin Aktaş Genco Özak
İyilik,Medyapım,2,29 Nisan 2022 - 20 Ocak 2023,Dram Aşk,FOX,Hatice Şendil İsmail Demirci Sera Kutlubey
Canım Annem,Stellar Yapım Saran Studios,1,14 Şubat 2022 - 28 Temmuz 2023,Dram,TV8,Selin Sezgin Erol Gedik Gece Işık Demirel
Mucize Doktor,MF Yapım,2,12 Eylül 2019 - 27 Mayıs 2021,Medikal Dram,FOX,Taner Ölmez Onur Tuna Sinem Ünsal
Zalim,,1,14 Mart 2003 - 25 Haziran 2003,Macera,Star TV,Mahsun Kırmızıgül Ceyda Düvenci Zafer Ergin Nebahat Çehre Ümit Okur Şafak Sezer Taner Ertürkler Ali Emre Ateş Levent Yılmaz Cezmi Baskın Damla Özen Güner Özkul Aliye Uzunatağan Evren Alganatay
Karakolda Ayna Var,TRT,1,6 Ekim - 30 Aralık 2000,Komedi,TRT 1,Müjde Ar Erdal Özyağcılar Perihan Savaş Hasan Demircan Suavi Eren Alev Sururi Avni Yalçın
Paramparça,Endomel Shine Turkey,3,1 Aralık 2014 - 27 Mart 2017,Aile Drama,Star TV  ( HD ) (2014-2017),Nurgül Yeşilçay Erkan Petekkaya Ebru Özkan Barış Falay
Maral: En Güzel Hikayem,Medyapım,2,5 Mart 2015 - 4 Kasım 2015,Dram Aşk,TV8  (2015),Hazal Kaya Aras Bulut İynemli Can Nergis
Aşkım Aşkım,,2,8 Ekim 2001  ( 2001-10-08 ) [1] [2]  - Haziran 2008,,Kanal D  (2001-2002) Kanal 1  (2007-2008),Emel Sayın Mehmet Ali Erbil Doğa Rutkay Engin Günaydın Günay Karacaoğlu Ayumi Takano
Gönülçelen,Tims Productions,2,26 Şubat 2010 - 24 Haziran 2011,"Dram ,  komedi",atv,Tuba Büyüküstün Cansel Elçin Onur Saylak
İntikam,,2,3 Ocak 2013 - 20 Şubat 2014,Aksiyon Drama,Kanal D  ( HD ),Beren Saat Nejat İşler Yiğit Özşener Mert Fırat
Elkızı,NTC Medya,1,23 Ekim 2021 - 30 Ocak 2022,Dram,FOX,Sevda Erginci Perihan Savaş İsmail Ege Şaşmaz
Seversin,D Productions,1,1 Haziran 2022 - 10 Ekim 2022,Romantik komedi,Kanal D,İlayda Alişan Burak Yörük
Kadın İsterse,Mint Ay Yapım İmaj TV  (teknik yapım),2,12 Aralık 2004  ( 2004-12-12 ) [1] [2]  -  25 Nisan 2006  ( 2006-04-25 ) [3] [4],Dram Komedi,Star TV  (2004-2005)  Show TV  (2005-2006),Hülya Avşar Cihan Ünal Deniz Çakır Zerrin Sümer Derya Baykal Kazım Akşar Burçin Terzioğlu Vildan Atasever Oğuz Oktay Cahit Kaşıkçılar Elif Tayhan
Kahraman Babam,Ay Yapım,1,14 Haziran 2021 - 26 Temmuz 2021,Aksiyon Dram,Show TV,Görkem Sevindik Nilay Deniz Ebrar Alya Demirbilek
Sayın Bakanım,Medyapım,1,1 Ekim 2004 - 7 Ocak 2005,,atv,Ali Sunal Haluk Bilginer Haldun Dormen Kenan Işık
Çılgın Bediş,,4,8 Temmuz 1996 - 3 Mart 2001,Gençlik Komedi,Kanal D  (1996-1999) Show TV  (2000-2001),Yonca Evcimik Cenk Torun Çiçek Dilligil Selahattin Taşdöğen
Siyah İnci,Gold Film,1,28 Eylül 2017 - 15 Şubat 2018,Dram Aşk,Star TV,Tolgahan Sayışman Hande Erçel
Pis Yedili,Tükenmezkalem Film,3,25 Ekim 2011 - 24 Haziran 2014,Gençlik Komedi,Show TV,Kadir Doğulu Eda Ece Melis Babadağ Uraz Kaygılaroğlu Burak Alkaş Halil Babür Ayşegül Aldinç Hazal Şenel Sezer Arıçay Ümit İbrahim Kantarcılar Bükre Atala Ahmet Yıldırım Melih Selçuk Ümit Erlim Güneş Zavrak Ecem Karavus Turan Özdemir Asuman Dabak İlkay Akdağlı Harun Kolçak Ceren Soylu Barış Akan Nevzat Çiftçi
Ah Ana,TRT,,1988 - 1990,Komedi Sitcom Dram,TRT 1  (1988-1990),Beyhan Saran Halil İbrahim Kalaycıoğlu Erol Kardeseci Alpay İzbırak Nurtekin Odabaşı Hülya Gülşen Irmak Jale Aylanç
Çoban Yıldızı,Most Production,1,2 Mart 2017 - 22 Haziran 2017,Dram Romantik,FOX,Şükrü Özyıldız Selin Şekerci Serhat Özcan Menderes Samancılar Selim Bayraktar Sinem Ünsal Özkan Uğur
Kendi Düşen Ağlamaz,NGM,1,22 Haziran 2023 - 4 Ocak 2024,Romantik komedi,TRT 1,Hakan Yılmaz Selen Soyder Enes Koçak Eylül Tumbar
Yerim Seni,,1,20 Ekim 1997 - 12 Ocak 1998,Komedi,Star TV,Serdar Akar Adem Ayral Zeki Alasya
Öğretmen Kemal,Mint Prodüksiyon,1,2 Ekim 2010 - 12 Şubat 2011,Gençlik Komedi,FOX,Bülent Emin Yarar Asena Tuğal Kerem Arslanoğlu Aras Aydın Yalçın Seyhan Ayşegül Erus Burcu Altın Can Sipahi Ege Kökenli
Hakkını Helal Et,,1,20 Ekim 2007  ( 2007-10-20 ) [2] [3] [4]  -  28 Haziran 2008  ( 2008-06-28 ) [5] [6],Dram Dini,Samanyolu TV,Oyuncular
Vurgun,Gold Film,1,6 Şubat 2019  ( 2019-02-06 )  -  13 Mart 2019  ( 2019-03-13 ),Dram Aile,FOX,Erkan Petekkaya Deniz Çakır Emre Kınay Begüm Birgören Cemal Toktaş Aliye Uzunatağan Altan Erkekli İnanç Konukçu
Doktorlar,Medyapım,4,28 Aralık 2006 - 14 Şubat 2011,Dram Medikal,Show TV,Kutsi Bekir Aksoy Yasemin Özilhan Leyla Göksun Melike Güner Yeşim Ceren Bozoğlu
Çifte Saadet,Pastel Film,1,6 Şubat 2016 - 16 Nisan 2016,Komedi Aşk,FOX,Fikret Kuşkan Şebnem Bozoklu Dolunay Soysert Bora Akkaş Dila Danışman Bedia Ener
Kaderimin Oyunu,NGM,1,3 Aralık 2021 - 17 Haziran 2022,Dram,Star TV,Öykü Karayel Akın Akınözü Sarp Apak Meriç Aral
Karagül,Avşar Film,4,29 Mart 2013 - 10 Haziran 2016,Dram Gerilim Aksiyon Macera,FOX  ( HD ),Ece Uslu Yavuz Bingöl Özlem Conker Mesut Akusta Ogün Kaptanoğlu Hilal Altınbilek Şerif Sezer
Anneler,Yonca Film,1,19 Ekim 2020 - 11 Haziran 2021,Aile Dram,TRT 1,Begüm Topçu Merve Üçer Melis Yıldıran Yağmur Öztürk
Acil Aşk Aranıyor,Medyapım,2,15 Mart 2015 - 25 Kasım 2015,Aşk Romantik komedi,Show TV  ( HD ),Serhat Teoman Duygu Yetiş
Elbet Bir Gün,Most Production,1,7 Kasım 2021 - 12 Aralık 2021,Aşk Dram,FOX,Sinem Ünsal Şebnem Bozoklu Burak Yamantürk
Aldırma Gönül,BKM,1,4 Temmuz 2013 - 29 Ağustos 2013,Komedi Sit-com,atv  ( HD ),Şahin Irmak Tülin Özen Nadir Sarıbacak Çağlar Çorumlu
İstanbul Sokakları,Gold Film,1,18 Nisan 2016 - 13 Haziran 2016,Dram Aşk,Show TV,Caner Cindoruk Gizem Karaca Rıza Kocaoğlu Naz Elmas Derya Alabora Mine Şenhuy Teber Sitare Akbaş Güven Murat Akpınar Berkay Ateş
Mavi Rüya,Ser Film,2,17 Kasım 2004  ( 2004-11-17 ) [1] [2]  -  21 Haziran 2006  ( 2006-06-21 ) [3] [4],Dram Gerilim,Samanyolu TV,Melda Bekcan Ali Başar Esin Civangil
Ah Nerede,10. Ev Yapım,1,1 Temmuz 2022 - 19 Ağustos 2022,Romantik komedi,Star TV,Oktay Çubuk Nil Keser
Sevgi Oyunu,Bop Ajans,1,15 Şubat 1994 - 5 Nisan 1994,Komedi,Star TV,Aydan Şener Zehra Alptürk Nuri Alço Bülent Bilgiç Murat Parasayar
Ruhsar,ANS Productions,5,7 Şubat 1998  ( 1998-02-07 )  -  29 Aralık 2001  ( 2001-12-29 ),Fantastik Komedi,Kanal D  (1998-2001) Kanal D  (2002) (Tekrar) Euro D  (2005) (Tekrar) D Max  (2006) (Tekrar) teve2  (2016) (Tekrar),Hande Ataizi Cem Davran
Misafir,Medyapım,1,11 Kasım 2021 - 9 Aralık 2021,Dram Aile,FOX,Hazal Kaya Buğra Gülsoy Ozan Dolunay
Kanunsuz Topraklar,Gold Film,1,29 Eylül 2021 - 9 Şubat 2022,Dram Tarihî,FOX,Uğur Güneş Esra Bilgiç Necip Memili
Cennet'in Gözyaşları,Süreç Film,1,24 Eylül 2017  ( 2017-09-24 )  -  17 Haziran 2018  ( 2018-06-17 ),Dram,atv,Berk Atan Almila Ada Esra Ronabar
Sakarya Fırat,Sinegraf,4,16 Aralık 2009 - 12 Haziran 2013,Askeri Aksiyon Dram Savaş,TRT 1,Tayanç Ayaydın Ceren Hindistan Deniz Arna İsmail Hakkı Ürün Gerçek Sağlar Kürşat Alnıaçık
Ferhat ile Şirin,O3 Medya,1,22 Kasım 2019 - 27 Aralık 2019,Dram,FOX,Cansu Dere Tolga Sarıtaş Leyla Tanlar
Bodrum Masalı,TMC Film,1,18 Ağustos 2016  ( 2016-08-18 )  -  18 Haziran 2017  ( 2017-06-18 ),Romantik Gençlik,Kanal D,Timuçin Esen Şevval Sam Murat Aygen
Bir Bulut Olsam,Tims Productions,2,23 Şubat 2009 - 24 Aralık 2009,Drama,Kanal D,Melisa Sözen Engin Altan Düzyatan Engin Akyürek Meral Okay Berfu Öngören Ünal Silver Ceren Olcayto Sema Keçik Ahmet Kural Aslıhan Gürbüz Selim Bayraktar
Bayanlar Baylar,ANS Productions,1,10 Nisan 2002  ( 2002-04-10 ) [1]  -  20 Eylül 2002  ( 2002-09-20 ) [2],Komedi,Kanal D,Oktay Kaynarca Hande Ataizi Günay Karacaoğlu Yavuz Bingöl Levent Üzümcü Aşkın Nur Yengi Belma Canciğer Sümer Tilmaç Emine Ün Mansur Ark Nükhet Duru Özlem Yıldız
Umut Taksi,,2,8 Nisan 1992 - 27 Ekim 1993,Dram,TRT 1  (1992-1993),Dilaver Uyanık Yılmaz Erdoğan Ferdi Akarnur  Necati Bilgiç Tayfun Çorağan Nüvit Özdoğru Ayla Algan
Hom Ofis,Acun Medya Mint,1,26 Kasım 2014 - 25 Aralık 2014,Komedi,TV8  ( HD ),Cengiz Bozkurt Devrim Yakut Ani İpekkaya Emin Gümüşkaya Samet Göksü Ozan Uygun Çağlar Bade Türe Zeynep Sevi Yılmaz Mesut Can Tomay Sarp Aydınoğlu Çağla Bade Türe Uğur Alibaşoğlu
Sen Çal Kapımı,MF Yapım,2,8 Temmuz 2020 - 8 Eylül 2021,Duygusal Romantik komedi,FOX,Hande Erçel Kerem Bürsin
Seni Kalbime Sakladım,Sev Yapım,1,30 Haziran 2022 - 11 Ağustos 2022,Romantik komedi,TRT 1,Sevda Erginci Ekin Mert Daymaz Gökçe Akyıldız
Rengarenk,NTC Medya,1,1 Temmuz 2016 - 9 Eylül 2016,Romantik komedi,atv,Selin Şekerci Kaan Taşaner Ümit Kantarcılar Merve Oflaz İnci Türkay Ferdi Sancar İbrahim Kendirci Serenay Aktaş Sait Genay
Kara Ekmek,Limon Film,2,23 Ocak 2015 - 25 Aralık 2015,Dram,atv,Özlem Yılmaz Engin Hepileri Ushan Çakır Altan Erkekli Gülçin Santırcıoğlu Elifcan Ongurlar Anıl İlter
Adım Farah,O3 Medya,2,1 Mart 2023 - 30 Aralık 2023,Dram,FOX,Demet Özdemir Engin Akyürek
Sungurlar,,2,25 Ekim 2014 - 14 Kasım 2015,Askeri Dram Aksiyon Savaş,Samanyolu TV,Mert Kılıç Bora Karakul Dilara Büyükbayraktar Merve Anlağan Mehmet Küçük Okan Kemal Özkan
Cennet Mahallesi,Erler Film,3,11 Haziran 2004  ( 2004-06-11 ) [1] [2]  -  9 Haziran 2007  ( 2007-06-09 ) [3] [4] [5] [6] [7],Komedi,Show TV,Melek Baykal Müjdat Gezen Özkan Uğur Alişan Çağla Şıkel Zeki Alasya
Şehnaz Tango,Ar Ajans,4,3 Ekim 1994 - 29 Aralık 1997,Romantik komedi Dram Aşk,Show TV  (1994-1995) Star TV  (1995-1997),Perran Kutman Erdal Özyağcılar
Meleklerin Aşkı,Süreç Film,1,5 Temmuz 2018 - 20 Eylül 2018,Romantik komedi,Show TV  ( HD ),Oya Başar Berkay Hardal Gülper Özdemir Didem Balçın Toygan Avanoğlu
Hayat Devam Ediyor,Boyut Film,2,18 Kasım 2011 - 20 Ocak 2013,Dram,atv  (2011-2013),Fikret Kuşkan Arif Erkin Güzelbeyoğlu Meltem Miraloğlu Şenay Gürler Rozet Hubeş Onur Tuna Neslihan Atagül Rana Cabbar Sera Tokdemir Serkan Şenalp Ali Barkın Çağla Şimşek
Büyümüş de Küçülmüş,D Productions,1,11 Ağustos 2003  ( 2003-08-11 ) [1]  -  28 Ekim 2003  ( 2003-10-28 ) [2],Sit-com Komedi,Kanal D  (2003),Mehmet Ali Erbil Melisa Sözen Nilgün Belgün İlkay Saran Taner Ergör Pamela Spence Gökçe Akyıldız Arda Esen Sevinç Aktansel Misak Toros Kerem Altaylar
Zümrüdüanka,Pastel Film,2,25 Ocak 2020 - 6 Ocak 2021,Dram,FOX,Alp Navruz Ceren Yılmaz Selim Bayraktar Hatice Aslan İsmail Hacıoğlu
Dudaktan Kalbe,Ay Yapım,2,3 Eylül 2007 - 26 Mayıs 2009,Dram,Show TV,Aslı Tandoğan Burak Hakkı Özge Özder Yiğit Özşener Fadik Sevin Atasoy
Şehrin Melekleri,,1,17 Ağustos 2015 - 14 Eylül 2015,Dram Polisiye Aksiyon,FOX  ( HD ),Ümit Kantarcılar Yiğit Dikmen Cenk Ertan Nilay Cafer Fırat Tanış Buse Varol Arda Hacıoğlu
Tatlı Bela Fadime,Erler Film,1,11 Ekim 2007 - 21 Haziran 2008 [1],Romantik komedi,Star TV,Nehir Erdoğan Berk Oktay Cezmi Baskın Füsun Demirel
