Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Yedi Güzel Adam,Pusula Film,2,19 Nisan 2014 - 20 Nisan 2015,Tarihi Gençlik Aşk Dram,TRT 1  ( HD ),Uraz Kaygılaroğlu Baran Akbulut Yıldız Çağrı Atiksoy Kemal Uçar Orhan Kanalp Mertcan Sevimli Yiğit Çakır Çağdaş Tekin Kenan Bal Bora Cengiz Fatih Murat Teke Şahika Koldemir Pınar Gök
Yıldızlar Şahidim,Süreç Film,1,27 Ocak 2017  ( 2017-01-27 )  -  17 Şubat 2017  ( 2017-02-17 ),Dram Aşk,Star TV,Canan Ergüder Mesut Akusta Berk Cankat Özge Gürel
Sevdam Alabora,Endemol Shine Turkey,1,10 Şubat 2015 - 8 Mart 2015,Dram,atv,Kadir Doğulu Elçin Sangu İlker Kızmaz Gökçe Yanardağ Başak Parlak Sacide Taşaner Mutlu Güney Mustafa Avkıran Ümit Acar Mehmetcan Mincinozlu Fırat Can Aydın
Son,Ay Yapım,1,9 Ocak 2012 - 25 Haziran 2012,Dram,atv  ( HD ),Engin Altan Düzyatan Nehir Erdoğan Erkan Can Berrak Tüzünataç Yiğit Özşener
Seviyor Sevmiyor,MF Yapım,1,15 Haziran 2016 - 12 Şubat 2017,Romantik komedi Gençlik,atv,Zeynep Çamcı Gökhan Alkan Gonca Sarıyıldız Yiğit Kirazcı
Kurt Seyit ve Şura,Ay Yapım,2,4 Mart 2014 - 20 Kasım 2014,Drama Tarihî,Star TV  ( HD ),Kıvanç Tatlıtuğ Farah Zeynep Abdullah Birkan Sokullu Fahriye Evcen Ushan Çakır Elçin Sangu
Bir Küçük Gün Işığı,NGM,1,5 Eylül 2022 - 5 Haziran 2023,Dram,atv,Seray Kaya Berk Oktay
Yunus Emre: Aşkın Yolculuğu,Tekden Film,2,18 Haziran 2015  ( 2015-06-18 )  -  24 Mayıs 2016  ( 2016-05-24 ),Tarihî Kurgu Dram Dinî,TRT 1,Yusuf Gökhan Atalay Payidar Tüfekçioğlu Baran Akbulut
Babam Sınıfta Kaldı,Tükenmezkalem Film,1,7 Temmuz 2013  ( 2013-07-07 )  -  23 Aralık 2013  ( 2013-12-23 ),Komedi Gençlik,FOX,Cem Davran Melis Tüzüngüç Mesut Yar Defne Samyeli
Hıçkırık,Birsel Yapım,1,1 Ocak 2018 - 9 Mart 2018,Dram Aşk,Kanal D,Sezgi Sena Akay Barış Arda Hacıoğlu
Marziye,,,1998 - 2000,Dram,TGRT,Kadir İnanır Gülben Ergen
Dedektif Memoli,Süreç Film,1,30 Eylül 2011 - 23 Aralık 2011,Polisiye Macera,TNT  (2011),Emre Kızılırmak (Memoli) Burcu Esmersoy (Zeynep) Özlem Yılmaz (Ezo) Demir Karahan Ünal Yeter Barış Başar
Geniş Zamanlar,Koliba Film,1,9 Ocak 2007 - Haziran 2007,Dram,Star TV,Zuhal Olcay Özge Özberk Oktay Kaynarca
Çöp Adam,OGM Pictures,2,30 Kasım 2022 - 11 Ekim 2023,Dram,Star TV,Engin Altan Düzyatan Elçin Sangu
