Title,Yapımşirketi,Yönetmen,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
İyilik,Medyapım,Murat Öztürk,2,29 Nisan 2022 - 20 Ocak 2023,Dram -  - Aşk,FOX,Hatice Şendil -  - İsmail Demirci -  - Sera Kutlubey
Canım Annem,Stellar Yapım Saran Studios,Ece Tahtalıoğlu Pertez -  - Emrah Şendur,1,14 Şubat 2022 - 28 Temmuz 2023,Dram,TV8,Selin Sezgin -  - Erol Gedik -  - Gece Işık Demirel
Mucize Doktor,MF Yapım,"Yusuf Pirhasan -  (1-48, 64) -  - Aytaç Çiçek -  (2-28, 30-53) -  - Volkan Keskin -  (53) -  - Yağız Alp Akaydın -  (54-60) -  - Altan Dönmez -  (61-64)",2,12 Eylül 2019 - 27 Mayıs 2021,Medikal -  - Dram,FOX,Taner Ölmez -  - Onur Tuna -  - Sinem Ünsal
Zalim,Böcek Yapım,Faruk Teber -  - Jale İncekol,1,14 Mart 2003 - 25 Haziran 2003,Macera,Star TV,Mahsun Kırmızıgül -  - Ceyda Düvenci -  - Zafer Ergin -  - Nebahat Çehre -  - Ümit Okur -  - Şafak Sezer -  - Taner Ertürkler -  - Ali Emre Ateş -  - Levent Yılmaz -  - Cezmi Baskın -  - Damla Özen -  - Güner Özkul -  - Aliye Uzunatağan -  - Evren Alganatay
Karakolda Ayna Var,TRT,Kudret Sabancı,1,6 Ekim - 30 Aralık 2000,Komedi,TRT 1,Müjde Ar -  - Erdal Özyağcılar -  - Perihan Savaş -  - Hasan Demircan -  - Suavi Eren -  - Alev Sururi -  - Avni Yalçın
Paramparça,Endomel Shine Turkey,Cevdet Mercan -  (1-31)  -  - Altan Dönmez -  (32-97),3,1 Aralık 2014 - 27 Mart 2017,Aile -  - Drama,Star TV -  ( - HD - ) (2014-2017),Nurgül Yeşilçay -  - Erkan Petekkaya -  - Ebru Özkan -  - Barış Falay
Maral: En Güzel Hikayem,Medyapım,Bahadar İnce,2,5 Mart 2015 - 4 Kasım 2015,Dram -  - Aşk,TV8 -  (2015),Hazal Kaya -  - Aras Bulut İynemli -  - Can Nergis
Aşkım Aşkım,Yağmur Ajans,Filiz Kaynak -  (2001-2002) -  - Nursan Esenboğa -  (2008),2,8 Ekim 2001  ( 2001-10-08 ) [1] [2]  - Haziran 2008,Komedi,Kanal D -  (2001-2002) -  - Kanal 1 -  (2007-2008),Emel Sayın -  - Mehmet Ali Erbil -  - Doğa Rutkay -  - Engin Günaydın -  - Günay Karacaoğlu -  - Ayumi Takano
Gönülçelen,Tims Productions,Cevdet Mercan -  - Ahmet Katıksız,2,26 Şubat 2010 - 24 Haziran 2011,"Dram - ,  - komedi",atv,Tuba Büyüküstün -  - Cansel Elçin -  - Onur Saylak
İntikam,In D House Disney,Mesude Eraslan -  (1-22)  -  - Çağrı Vila Lostuvalı -  (23-44),2,3 Ocak 2013 - 20 Şubat 2014,Aksiyon -  - Drama,Kanal D -  ( - HD - ),Beren Saat -  - Nejat İşler -  - Yiğit Özşener -  - Mert Fırat
Elkızı,NTC Medya,Feride Kaytan,1,23 Ekim 2021 - 30 Ocak 2022,Dram,FOX,Sevda Erginci -  - Perihan Savaş -  - İsmail Ege Şaşmaz
Seversin,D Productions,Serdar Gözelekli -  - (1-15) -  - Deniz Çelebi Dikilitaş -  (16-20),1,1 Haziran 2022 - 10 Ekim 2022,Romantik komedi,Kanal D,İlayda Alişan -  - Burak Yörük
Kadın İsterse,Mint Ay Yapım İmaj TV  (teknik yapım),Bora Tekay,2,12 Aralık 2004  ( 2004-12-12 ) [1] [2]  -  25 Nisan 2006  ( 2006-04-25 ) [3] [4],Dram -  - Komedi,Star TV -  (2004-2005)  -  - Show TV -  (2005-2006),Hülya Avşar -  - Cihan Ünal -  - Deniz Çakır -  - Zerrin Sümer -  - Derya Baykal -  - Kazım Akşar -  - Burçin Terzioğlu -  - Vildan Atasever -  - Oğuz Oktay -  - Cahit Kaşıkçılar -  - Elif Tayhan
Kahraman Babam,Ay Yapım,Osman Kaya,1,14 Haziran 2021 - 26 Temmuz 2021,Aksiyon -  - Dram,Show TV,Görkem Sevindik -  - Nilay Deniz -  - Ebrar Alya Demirbilek
Sayın Bakanım,Medyapım,Fatih Aksoy -  - Fatmanur Sevinç,1,1 Ekim 2004 - 7 Ocak 2005,Komedi,atv,Ali Sunal -  - Haluk Bilginer -  - Haldun Dormen -  - Kenan Işık
Çılgın Bediş,D Productions,Turgut Yasalar -  (1-5) -  - Yavuz Figenli -  (6-53) -  - Çetin İnanç -  (54-65) -  - Ömer Uğur -  (66-70),4,8 Temmuz 1996 - 3 Mart 2001,Gençlik -  - Komedi,Kanal D -  (1996-1999) -  - Show TV -  (2000-2001),Yonca Evcimik -  - Cenk Torun -  - Çiçek Dilligil -  - Selahattin Taşdöğen
Siyah İnci,Gold Film,Cem Karcı -  - Benal Tairi,1,28 Eylül 2017 - 15 Şubat 2018,Dram -  - Aşk,Star TV,Tolgahan Sayışman -  - Hande Erçel
Pis Yedili,Tükenmezkalem Film,Haluk Bener -  (1) -  - Süleyman Seçik -  (2-26) -  - Kartal Çidamlı -  (27-66) -  - Doğan Ümit Karaca -  (67-71) -  - Osman Taşcı -  (72-101),3,25 Ekim 2011 - 24 Haziran 2014,Gençlik -  - Komedi,Show TV,Kadir Doğulu -  - Eda Ece -  - Melis Babadağ -  - Uraz Kaygılaroğlu -  - Burak Alkaş -  - Halil Babür -  - Ayşegül Aldinç -  - Hazal Şenel -  - Sezer Arıçay -  - Ümit İbrahim Kantarcılar -  - Bükre Atala -  - Ahmet Yıldırım -  - Melih Selçuk -  - Ümit Erlim -  - Güneş Zavrak -  - Ecem Karavus -  - Turan Özdemir -  - Asuman Dabak -  - İlkay Akdağlı -  - Harun Kolçak -  - Ceren Soylu -  - Barış Akan -  - Nevzat Çiftçi -
Ah Ana,TRT,Tarık Alpagut,1,1988 - 1990,Komedi -  - Sitcom -  - Dram,TRT 1 -  (1988-1990),Beyhan Saran -  - Halil İbrahim Kalaycıoğlu -  - Erol Kardeseci -  - Alpay İzbırak -  - Nurtekin Odabaşı -  - Hülya Gülşen Irmak -  - Jale Aylanç
Çoban Yıldızı,Most Production,Gül Oğuz -  - Kader Bayraktar,1,2 Mart 2017 - 22 Haziran 2017,Dram -  - Romantik,FOX,Şükrü Özyıldız -  - Selin Şekerci -  - Serhat Özcan -  - Menderes Samancılar -  - Selim Bayraktar -  - Sinem Ünsal -  - Özkan Uğur
Kendi Düşen Ağlamaz,NGM,Emre Kabakuşak -  - İnci Balabanoğlu Ahıska,1,22 Haziran 2023 - 4 Ocak 2024,Romantik komedi,TRT 1,Hakan Yılmaz -  - Selen Soyder -  - Enes Koçak -  - Eylül Tumbar
Yerim Seni,Devekuşu, Zeki Alasya -  - Adem Ayral,1,20 Ekim 1997 - 12 Ocak 1998,Komedi,Star TV,Serdar Akar -  - Adem Ayral -  - Zeki Alasya
Öğretmen Kemal,Mint Prodüksiyon,Hamdi Alkan,1,2 Ekim 2010 - 12 Şubat 2011,Gençlik -  - Komedi,FOX,Bülent Emin Yarar -  - Asena Tuğal -  - Kerem Arslanoğlu -  - Aras Aydın -  - Yalçın Seyhan -  - Ayşegül Erus -  - Burcu Altın -  - Can Sipahi -  - Ege Kökenli
Hakkını Helal Et,Ser Film,İsmail Güneş -  (1-6)  -  -  Naci Çelik Berksoy - [1] -  (7-37),1,20 Ekim 2007  ( 2007-10-20 ) [2] [3] [4]  -  28 Haziran 2008  ( 2008-06-28 ) [5] [6],Dram -  - Dini,Samanyolu TV,Sitare Akbaş -  - Mürşid Ağa Bağ -  - Hamdi Alp
Vurgun,Gold Film,Altan Dönmez -  - Orkun Çatak -  - Hilal Saral,1,6 Şubat 2019  ( 2019-02-06 )  -  13 Mart 2019  ( 2019-03-13 ),Dram -  - Aile,FOX,Erkan Petekkaya -  - Deniz Çakır -  - Emre Kınay -  - Begüm Birgören -  - Cemal Toktaş -  - Aliye Uzunatağan -  - Altan Erkekli -  - İnanç Konukçu
Doktorlar,Medyapım,Merve Girgin -  - Oğuzhan Tercan -  - Şenol Sönmez,4,28 Aralık 2006 - 14 Şubat 2011,Dram -  - Medikal,Show TV,Kutsi -  - Bekir Aksoy -  - Yasemin Özilhan -  - Leyla Göksun -  - Melike Güner -  - Yeşim Ceren Bozoğlu
Çifte Saadet,Pastel Film,Bora Tekay,1,6 Şubat 2016 - 16 Nisan 2016,Komedi -  - Aşk,FOX,Fikret Kuşkan -  - Şebnem Bozoklu -  - Dolunay Soysert -  - Bora Akkaş -  - Dila Danışman -  - Bedia Ener
Kaderimin Oyunu,NGM,Emre Kabakuşak,1,3 Aralık 2021 - 17 Haziran 2022,Dram,Star TV,Öykü Karayel -  - Akın Akınözü -  - Sarp Apak -  - Meriç Aral
Karagül,Avşar Film,Murat Saraçoğlu -  - Günay Günaydın,4,29 Mart 2013 - 10 Haziran 2016,Dram -  - Gerilim -  - Aksiyon -  - Macera,FOX -  ( - HD - ),Ece Uslu -  - Yavuz Bingöl -  - Özlem Conker -  - Mesut Akusta -  - Ogün Kaptanoğlu -  - Hilal Altınbilek -  - Şerif Sezer
Anneler,Yonca Film,Gürsel Ateş -  - Mihriban Şahin -  - Bergüzar Demiroğlu -  - Buket Ç. Çartıl,1,19 Ekim 2020 - 11 Haziran 2021,Aile -  - Dram,TRT 1,Begüm Topçu -  - Merve Üçer -  - Melis Yıldıran -  - Yağmur Öztürk
Acil Aşk Aranıyor,Medyapım,Hakan İnan,2,15 Mart 2015 - 25 Kasım 2015,Aşk -  - Romantik komedi,Show TV -  ( - HD - ),Serhat Teoman -  - Duygu Yetiş
Elbet Bir Gün,Most Production,Gül Oğuz,1,7 Kasım 2021 - 12 Aralık 2021,Aşk -  - Dram,FOX,Sinem Ünsal -  - Şebnem Bozoklu -  - Burak Yamantürk
Aldırma Gönül,BKM,Hakan Algül,1,4 Temmuz 2013 - 29 Ağustos 2013,Komedi -  - Sit-com,atv -  ( - HD - ),Şahin Irmak -  - Tülin Özen -  - Nadir Sarıbacak -  - Çağlar Çorumlu
İstanbul Sokakları,Gold Film,Adnan Güler,1,18 Nisan 2016 - 13 Haziran 2016,Dram -  - Aşk,Show TV,Caner Cindoruk -  - Gizem Karaca -  - Rıza Kocaoğlu -  - Naz Elmas -  - Derya Alabora -  - Mine Şenhuy Teber -  - Sitare Akbaş -  - Güven Murat Akpınar -  - Berkay Ateş
Mavi Rüya,Ser Film,Avni Kütükoğlu -  - Cemile Kırmızı Karadaş,2,17 Kasım 2004  ( 2004-11-17 ) [1] [2]  -  21 Haziran 2006  ( 2006-06-21 ) [3] [4],Dram -  - Gerilim,Samanyolu TV,Melda Bekcan -  - Ali Başar -  - Esin Civangil
Ah Nerede,10. Ev Yapım,Bülent İşbilen,1,1 Temmuz 2022 - 19 Ağustos 2022,Romantik komedi,Star TV,Oktay Çubuk -  - Nil Keser
Sevgi Oyunu,Bop Ajans,Oksal Pekmezoğlu,1,15 Şubat 1994 - 5 Nisan 1994,Komedi,Star TV,Aydan Şener -  - Zehra Alptürk -  - Nuri Alço -  - Bülent Bilgiç -  - Murat Parasayar
Ruhsar,ANS Productions,Ümmü Burhan -  - Samim Değer -  - Ömür Atay,5,7 Şubat 1998  ( 1998-02-07 )  -  29 Aralık 2001  ( 2001-12-29 ),Fantastik -  - Komedi,Kanal D -  (1998-2001) -  - Kanal D -  (2002) (Tekrar) -  - Euro D -  (2005) (Tekrar) -  - D Max -  (2006) (Tekrar) -  - teve2 -  (2016) (Tekrar) -,Hande Ataizi -  - Cem Davran
Misafir,Medyapım,Arda Sarıgün,1,11 Kasım 2021 - 9 Aralık 2021,Dram -  - Aile,FOX,Hazal Kaya -  - Buğra Gülsoy -  - Ozan Dolunay
Kanunsuz Topraklar,Gold Film,Faruk Teber -  (1-6) -  - Yasin Uslu -  (3-6) -  - Cevdet Mercan -  (7-16),1,29 Eylül 2021 - 9 Şubat 2022,Dram -  - Tarihî,FOX,Uğur Güneş -  - Esra Bilgiç -  - Necip Memili
Cennet'in Gözyaşları,Süreç Film,Sadullah Celen,1,24 Eylül 2017  ( 2017-09-24 )  -  17 Haziran 2018  ( 2018-06-17 ),Dram,atv,Berk Atan -  - Almila Ada -  - Esra Ronabar
Sakarya Fırat,Sinegraf,Osman Sınav -  (1-15) -  - Tevfik Şenol -  (1-5) -  - Aybars Bora Kahyaoğlu -  (1-5) -  - Raşit Çelikezer -  (10-35) -  - Emre Kabakuşak -  (36-113) -  - Veli Çelik -  (114-151),4,16 Aralık 2009 - 12 Haziran 2013,Askeri -  - Aksiyon -  - Dram -  - Savaş,TRT 1,Tayanç Ayaydın -  - Ceren Hindistan -  - Deniz Arna -  - İsmail Hakkı Ürün -  - Gerçek Sağlar -  - Kürşat Alnıaçık
Ferhat ile Şirin,O3 Medya,Mehmet Ada Öztekin,1,22 Kasım 2019 - 27 Aralık 2019,Dram,FOX,Cansu Dere -  - Tolga Sarıtaş -  - Leyla Tanlar
Bodrum Masalı,TMC Film,Mehmet Ada Öztekin,1,18 Ağustos 2016  ( 2016-08-18 )  -  18 Haziran 2017  ( 2017-06-18 ),Romantik -  - Gençlik,Kanal D,Timuçin Esen -  - Şevval Sam -  - Murat Aygen
Bir Bulut Olsam,Tims Productions,Ulaş İnaç -  - Hatice Memiş,2,23 Şubat 2009 - 24 Aralık 2009,Drama,Kanal D,Melisa Sözen -  - Engin Altan Düzyatan -  - Engin Akyürek -  - Meral Okay -  - Berfu Öngören -  - Ünal Silver -  - Ceren Olcayto -  - Sema Keçik -  - Ahmet Kural -  - Aslıhan Gürbüz -  - Selim Bayraktar
Bayanlar Baylar,ANS Productions,Erdoğan Engin,1,10 Nisan 2002  ( 2002-04-10 ) [1]  -  20 Eylül 2002  ( 2002-09-20 ) [2],Komedi,Kanal D,Oktay Kaynarca -  - Hande Ataizi -  - Günay Karacaoğlu -  - Yavuz Bingöl -  - Levent Üzümcü -  - Aşkın Nur Yengi -  - Belma Canciğer -  - Sümer Tilmaç -  - Emine Ün -  - Mansur Ark -  - Nükhet Duru -  - Özlem Yıldız
Umut Taksi,TRT,Yusuf Kurçenli -  (8 bölüm)  -  - Avni Kütükoğlu -  (44 bölüm),2,8 Nisan 1992 - 27 Ekim 1993,Dram,TRT 1 -  (1992-1993),Dilaver Uyanık -  - Yılmaz Erdoğan -  - Ferdi Akarnur -  - Necati Bilgiç -  - Tayfun Çorağan -  - Nüvit Özdoğru -  - Ayla Algan
Hom Ofis,Acun Medya Mint,Emre Kavuk,1,26 Kasım 2014 - 25 Aralık 2014,Komedi,TV8 -  ( - HD - ),Cengiz Bozkurt -  - Devrim Yakut -  - Ani İpekkaya -  - Emin Gümüşkaya -  - Samet Göksü -  - Ozan Uygun -  - Çağlar Bade Türe -  - Zeynep Sevi Yılmaz -  - Mesut Can Tomay -  - Sarp Aydınoğlu -  - Çağla Bade Türe -  - Uğur Alibaşoğlu -
Sen Çal Kapımı,MF Yapım,Ender Mıhlar -  (1) -  - Yusuf Pirhasan -  (1) -  - Altan Dönmez -  (2-52),2,8 Temmuz 2020 - 8 Eylül 2021,Duygusal -  - Romantik komedi,FOX,Hande Erçel -  - Kerem Bürsin
Seni Kalbime Sakladım,Sev Yapım,Şenol Sönmez,1,30 Haziran 2022 - 11 Ağustos 2022,Romantik komedi,TRT 1,Sevda Erginci -  - Ekin Mert Daymaz -  - Gökçe Akyıldız
Rengarenk,NTC Medya,Kerem Çakıroğlu,1,1 Temmuz 2016 - 9 Eylül 2016,Romantik komedi,atv,Selin Şekerci -  - Kaan Taşaner -  - Ümit Kantarcılar -  - Merve Oflaz -  - İnci Türkay -  - Ferdi Sancar -  - İbrahim Kendirci -  - Serenay Aktaş -  - Sait Genay
Kara Ekmek,Limon Film,Taner Akvardar -  - Selin Kılıçarslan,2,23 Ocak 2015 - 25 Aralık 2015,Dram,atv,Özlem Yılmaz -  - Engin Hepileri -  - Ushan Çakır -  - Altan Erkekli -  - Gülçin Santırcıoğlu -  - Elifcan Ongurlar -  - Anıl İlter
Adım Farah,O3 Medya,Recai Karagöz -  (1-21) -  - Adem Demir -  (22-27),2,1 Mart 2023 - 30 Aralık 2023,Dram,FOX,Demet Özdemir -  - Engin Akyürek
Sungurlar,Ser Film,Engin Koç,2,25 Ekim 2014 - 14 Kasım 2015,Askeri -  - Dram -  - Aksiyon -  - Savaş,Samanyolu TV,Mert Kılıç -  - Bora Karakul -  - Dilara Büyükbayraktar -  - Merve Anlağan -  - Mehmet Küçük -  - Okan Kemal Özkan
Cennet Mahallesi,Erler Film,Serdar Akar -  (1-6) -  - Yaşar Seriner -  (7-119),3,11 Haziran 2004  ( 2004-06-11 ) [1] [2]  -  9 Haziran 2007  ( 2007-06-09 ) [3] [4] [5] [6] [7],Komedi,Show TV,Melek Baykal -  - Müjdat Gezen -  - Özkan Uğur -  - Alişan -  - Çağla Şıkel -  - Zeki Alasya
Şehnaz Tango,Ar Ajans,Taner Akvardar -  - Semih Kaplanoğlu -  - Sadullah Celen -  - Nursan Esenboğa -  - Hüdaverdi Yavuz,4,3 Ekim 1994 - 29 Aralık 1997,Romantik komedi -  - Dram -  - Aşk,Show TV -  (1994-1995) -  - Star TV -  (1995-1997),Perran Kutman -  - Erdal Özyağcılar
Meleklerin Aşkı,Süreç Film,Hamdi Alkan,1,5 Temmuz 2018 - 20 Eylül 2018,Romantik komedi,Show TV -  ( - HD - ),Oya Başar -  - Berkay Hardal -  - Gülper Özdemir -  - Didem Balçın -  - Toygan Avanoğlu
Hayat Devam Ediyor,Boyut Film,Cemal Şan -  - Mahsun Kırmızıgül -  - Yıldız Hülya Bilban -  - Levent Türkan,2,18 Kasım 2011 - 20 Ocak 2013,Dram,atv -  (2011-2013),Fikret Kuşkan -  - Arif Erkin Güzelbeyoğlu -  - Meltem Miraloğlu -  - Şenay Gürler -  - Rozet Hubeş -  - Onur Tuna -  - Neslihan Atagül -  - Rana Cabbar -  - Sera Tokdemir -  - Serkan Şenalp -  - Ali Barkın -  - Çağla Şimşek
Büyümüş de Küçülmüş,D Productions,Cem Karcı,1,11 Ağustos 2003  ( 2003-08-11 ) [1]  -  28 Ekim 2003  ( 2003-10-28 ) [2],Sit-com -  - Komedi,Kanal D -  (2003),Mehmet Ali Erbil -  - Melisa Sözen -  - Nilgün Belgün -  - İlkay Saran -  - Taner Ergör -  - Pamela Spence -  - Gökçe Akyıldız -  - Arda Esen -  - Sevinç Aktansel -  - Misak Toros -  - Kerem Altaylar
Zümrüdüanka,Pastel Film,Cemal Şan -  (1-8) -  - Serhan Şahin -  (9-16) -  - Volkan Kocatürk -  (17-26),2,25 Ocak 2020 - 6 Ocak 2021,Dram,FOX,Alp Navruz -  - Ceren Yılmaz -  - Selim Bayraktar -  - Hatice Aslan -  - İsmail Hacıoğlu
Dudaktan Kalbe,Ay Yapım,Andaç Haznedaroğlu,2,3 Eylül 2007 - 26 Mayıs 2009,Dram,Show TV,Aslı Tandoğan -  - Burak Hakkı -  - Özge Özder -  - Yiğit Özşener -  - Fadik Sevin Atasoy
Şehrin Melekleri,Boyut Film,Ilgaz Giritlioğlu,1,17 Ağustos 2015 - 14 Eylül 2015,Dram -  - Polisiye -  - Aksiyon,FOX -  ( - HD - ),Ümit Kantarcılar -  - Yiğit Dikmen -  - Cenk Ertan -  - Nilay Cafer -  - Fırat Tanış -  - Buse Varol -  - Arda Hacıoğlu
Tatlı Bela Fadime,Erler Film,Cankat Ergin,1,11 Ekim 2007 - 21 Haziran 2008 [1],Romantik komedi,Star TV,Nehir Erdoğan -  - Berk Oktay -  - Cezmi Baskın -  - Füsun Demirel
Evlilik Hakkında Her Şey,MF Yapım,Yusuf Pirhasan -  (1-12) -  - Volkan Keskin -  (5-33),1,21 Eylül 2021 - 31 Mayıs 2022,Dram -  - Komedi-drama -  - Hukuk,FOX,Gökçe Bahadır -  - Sarp Akkaya -  - Yiğit Kirazcı -  - Sumru Yavrucuk -  - Gökçe Eyüboğlu -  - Barış Kılıç -  - Serkan Altunorak -  - Erdal Küçükkömürcü -  - Tülin Ece
Vermem Seni Ellere,AKN Film,Ali Balcı,1,18 Haziran 2023 - 13 Ağustos 2023,Romantik komedi,atv,Emre Bey -  - Buse Meral
Rüzgarın Kalbi,Filmevi Yapım,Filiz Gülmez Pakman,1,20 Ağustos 2016 - 24 Ekim 2016,Aşk -  - Dram,FOX,Burak Serdar Şanal -  - Deniz Baysal
Börü,CaglarArts Insignia,Can Emre -  - Cem Özüduru,1,28 Şubat 2018 - 11 Nisan 2018,Polisiye -  - Dram -  - Aksiyon -  - Savaş,Star TV,Serkan Çayoğlu -  - Mesut Akusta -  - Ahu Türkpençe -  - Murat Arkın -  - Emir Benderlioğlu -  - Melis Hacic -  - Fırat Doğruloğlu -  - Ahmet Pınar -  - Can Nergis -  - Armağan Oğuz -  - Bedii Akın -  - Ozan Ağaç -  - Gürol Tonbul
Kördüğüm,Endemol Shine Turkey,Gökçen Usta Çaylar,2,7 Ocak 2016 - 20 Ekim 2016,Dram -  - Aşk,FOX,İbrahim Çelikkol -  - Alican Yücesoy -  - Saadet Işıl Aksoy -  - Belçim Bilgin
Toprak ile Fidan,OGM Pictures Stellar Yapım,Eray Koçak -  - Atilla Cengiz,1,31 Ekim 2022 - 21 Nisan 2023,Dram,Star TV,Hazal Adıyaman -  - Osman Aydın
Familya,TMC Film,Can Yücel,1,20 Eylül 2016 - 22 Kasım 2016,Komedi -  - Aile,FOX,Uğur Yücel -  - Erkan Kolçak Köstendil -  - Bülent Emrah Parlak -  - Murat Ceylan
Kanıt: Ateş Üstünde,ANS Productions,Abdullah Oğuz,1,12 Temmuz 2016 - 30 Ağustos 2016,Polisiye,Kanal D,Tansel Öngel -  - Başak Güröz -  - Ahmet Olgun Sünear -  - Gurur Aydoğan -  - Okday Korunan -  - Müge Mertson -  - Ebru Aytemur -  - Mustafa Açılan -  - Hayati Akbaş -
Yeni Evli,Tunga Film,Alper Tunga Özdemir,1,Temmuz 2007 - Nisan 2008,Dram -  - Komedi,TRT 1 -  (2007-2008),Rüştü Asyalı -  - Erdal Küçükkömürcü -  - Mert Tanık -  - Nur Yazar
Kaçak Gelinler,NTC Medya,İnci Balabanoğlu -  - Ahıska,1,30 Haziran 2014 - 22 Ocak 2015,Komedi -  - Romantik,"Star TV -  (2014, 1-14.  bölüm) -  - TV8 -  (2014-2015, 15-29. bölüm)",Selin Şekerci -  - Açelya Topaloğlu -  - Deniz Baysal
Aşkın Yolculuğu: Hacı Bayram-ı Veli,Tekden Film,Kamil Aydın (1-5) -  - Yücel Hüdaverdi -  (5-26),1,11 Şubat 2022 - 28 Nisan 2022,Tarihî -  - Kurgu -  - Dinî,TRT 1,Burak Sevinç -  - Atakan Yarımdünya -  - Hüseyin Soysalan -  - Sena Çakır
Meryem,TMC Film,Barış Erçetin,1,2 Ağustos 2017 - 28 Şubat 2018,Dram -  - Aşk,Kanal D,Furkan Andıç -  - Ayça Ayşin Turan -  - Cemal Toktaş
Dengi Dengine,İstanbul Medya Akademisi,Osman Nail Doğan -  - Murad Zaloğlu,1,3 Haziran 2019 - 7 Haziran 2019,Komedi -  - Aile,TRT 1,Su Kutlu -  - Bora Akkaş -  - Baran Can Eraslan -  - Murat Kekilli -  - Şinasi Yurtsever -  - Altan Erkekli -  - Benian Dönmez -  - Jale Aylanç
Kraliçe,Mednova,"Cevdet Mercan -  (1-8, 11) -  - Serhan Şahin (9-10)",1,22 Mart 2023 - 7 Haziran 2023,Dram,Kanal D,Burcu Özberk -  - Gökhan Alkan -  - Selin Şekerci -  - Özgün Karaman
Kötü Yol,Gold Film,Nisan Akman,1,26 Temmuz 2012 - 6 Kasım 2012,Drama,Kanal D -  ( - HD - ),Cansel Elçin -  - Şükran Ovalı -  - İlker Aksum
Adanalı,Kuzey Prodüksiyon,Adnan Güler  -  -  Bora Onur  -  - Tayfun Güneyer,3,7 Kasım 2008  ( 2008-11-07 )  -  7 Kasım 2010  ( 2010-11-07 ),Aksiyon -  - Dram -  - Komedi -  - Polisiye,atv,Oktay Kaynarca -  - Mehmet Akif Alakurt -  - Ekin Türkmen -  - Cemal Hünal -  - Selin Demiratar -  - Serenay Sarıkaya -  - Çağkan Çulha -  - Eda Özerkan -  - Umut Oğuz
Vazgeç Gönlüm,Gold Film,Ahmet Sönmez,2,2007 - 18 Ekim 2008,Dram -  - Aksiyon,Star TV,Murat Han -  - İrem Altuğ -  - Bulut Aras
Babam Çok Değişti,Süreç Film,Hakan Algül,1,3 Aralık 2020 - 28 Ocak 2021,Komedi,Kanal D,Çağlar Çorumlu -  - Şebnem Bozoklu -  - Melek Baykal -  - Salih Kalyon -  - Timur Acar
Yemin,Karamel Yapım,Hakan Arslan -  - Reyhan Pekar,4,18 Şubat 2019 - 9 Ekim 2022,Pembe dizi,Kanal 7,Gökberk Demirci -  - Setenay Süer -  - Can Verel -  - Yağmur Şahbazova -  - Özge Yağız -  - Cansu Tuman
Pertev Bey'in Üç Kızı,TRT,Tunç Başaran,1,2006 - 2006,Komedi,TRT 1,Serdar Gökhan -  - Deniz Evrenol -  - Deniz Gökçer -  - Başak Daşman -  - Damla Sönmez -  - Orhan Aydın -  - Itır Esen
İffet,Gold Film,Faruk Teber,2,17 Eylül 2011 - 24 Eylül 2012,Drama,Star TV -  ( - HD - ),Deniz Çakır -  - İbrahim Çelikkol -  - Mahir Günşiray
No: 309,Gold Film,Hasan Tolga Pulat -  - Emre Kavuk,2,1 Haziran 2016 - 25 Ekim 2017,Romantik komedi,FOX,Demet Özdemir -  - Furkan Palalı
Bay Kamber,Doku Film,Ünal Küpeli,1,11 Ekim 1994 - 20 Aralık 1994,Komedi -  - Macera -  - Aile,Star TV,Kemal Sunal -  - Ebru Şimşek -  - Murat Aydın -  - Bülent Bilgiç -  - Necdet Yakın -  - Emrah Demirci
Beni Böyle Sev,BSK Yapım,Cem Tabak -  - Levent Türkan,3,11 Şubat 2013 - 27 Şubat 2015,Aşk -  - Gençlik -  - Romantik komedi,TRT 1 -  ( - HD - ),Alper Saldıran -  - Zeynep Çamcı -  - Burcu Altın -  - Bala Atabek -  - Umut Kurt -  - Eda Ece -  - Ozan Osmanpaşaoğlu -  - Mert Turak -  - Burcu Biricik -  - Yusuf Akgün -  - Selen Uçer -  - Fatih Koyunoğlu -  - Meral Asiltürk -  - Serkan Çayoğlu -  - Altan Gördüm -  - Lale Mansur -  - Güven Kıraç -  - Zafer Algöz
Gülbeyaz,eyeQ prodiction,Özer Kızıltan,1,13 Aralık 2002 - 27 Haziran 2003,Macera -  - Drama,Kanal D,Şevval Sam -  - Nejat İşler -  - Meral Çetinkaya -  - Kamran Usluer -  - Bora Ayanoğlu -  - Yeşim Ceren Bozoğlu
Zalim İstanbul,Avşar Film,Cevdet Mercan -  (1-25)  -  - Gökçen Usta -  (26-32)  -  - Şenol Sönmez -  (33-39),2,1 Nisan 2019 - 22 Haziran 2020,Dram,Kanal D - HD,Fikret Kuşkan -  - Deniz Uğur -  - Mine Tugay -  - Mehmet Ozan Dolunay -  - Sera Kutlubey -  - Berker Güven -  - Simay Barlas -  - İdris Nebi Taşkan -  - Bahar Şahin
Kanatsız Kuşlar,Koliba Film,Kemal Uzun,1,15 Haziran 2017 - 24 Mayıs 2018,Dram,atv,Melis Tüzüngüç -  - Ümit İbrahim Kantarcılar -  - Ayten Gökçer -  - Ahmet Varlı -  - Deniz Bolışık -  - Fatih Al -  - Seda Türkmen -  - Servet Pandur -  - Evren Bingöl -  - Gizem Güneş -  - Emir Özden -  - Eliz Neşe Çağın -  - Sinem Karel Gürtekin -  - Emre Melemez -  - Yusuf Baymaz -  - Kahraman Sivri
